province,age,sex,education,Vote,Vote_Liberal,Vote_Conservative,Voting_Interest,Vote_Prob,age_range
Ontario,24,A woman,Some university,Liberal Party,1,0,7,Certain to vote,18-29
Ontario,21,A woman,Some university,Green Party,1,0,10,Certain to vote,18-29
Ontario,19,A man,Some secondary/ high school,Liberal Party,1,0,8,Certain to vote,18-29
Ontario,19,A woman,Some university,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,22,A man,Some university,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,19,A man,Completed secondary/ high school,Conservative Party,0,1,9,Likely to vote,18-29
Ontario,19,A woman,Some university,ndp,0,0,7,Likely to vote,18-29
Ontario,19,A woman,Some university,ndp,0,0,8,Certain to vote,18-29
Ontario,19,A woman,Some university,Liberal Party,1,0,7,Likely to vote,18-29
Ontario,21,A woman,Completed secondary/ high school,Conservative Party,0,1,4,Certain to vote,18-29
Ontario,21,A man,Some university,Liberal Party,1,0,8,Certain to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,Liberal Party,1,0,8,Certain to vote,18-29
Ontario,21,A woman,Some university,Liberal Party,1,0,9,Certain to vote,18-29
Ontario,20,A woman,Some secondary/ high school,ndp,1,0,8,Certain to vote,18-29
Ontario,23,A man,Some university,Don't know/ Prefer not to answer,0,0,9,Certain to vote,18-29
Ontario,19,A woman,Some university,Don't know/ Prefer not to answer,1,0,8,Likely to vote,18-29
Ontario,20,A man,Some university,Liberal Party,1,0,8,Certain to vote,18-29
Ontario,19,A woman,Some university,ndp,0,0,7,Likely to vote,18-29
Ontario,19,A man,Some university,Green Party,0,0,9,Certain to vote,18-29
Ontario,23,A woman,Some university,ndp,1,0,2,Likely to vote,18-29
Ontario,21,A man,Completed secondary/ high school,Liberal Party,1,0,7,Certain to vote,18-29
Ontario,20,A woman,Completed secondary/ high school,ndp,0,0,9,Certain to vote,18-29
Ontario,22,A woman,Some university,Green Party,1,0,9,Certain to vote,18-29
Ontario,20,A woman,Some university,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,19,A woman,Some university,Liberal Party,1,0,8,Likely to vote,18-29
Ontario,19,A man,Some university,Liberal Party,1,0,8,Certain to vote,18-29
Ontario,20,A woman,Some university,ndp,1,0,8,Likely to vote,18-29
Ontario,21,A woman,Some university,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,22,A man,Some university,ndp,1,0,8,Certain to vote,18-29
Ontario,23,A woman,Bachelor's degree,ndp,1,0,4,Certain to vote,18-29
Ontario,19,A man,Completed secondary/ high school,Liberal Party,1,0,7,Certain to vote,18-29
Ontario,19,A woman,Some university,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,19,A woman,Some university,ndp,0,0,8,Likely to vote,18-29
Ontario,22,A woman,Some secondary/ high school,ndp,0,0,7,Likely to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,ndp,0,0,8,Certain to vote,18-29
Ontario,20,A woman,Completed secondary/ high school,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,21,A woman,Completed secondary/ high school,Liberal Party,1,0,8,Likely to vote,18-29
Ontario,20,A woman,Some university,Conservative Party,0,1,NA,Certain to vote,18-29
Ontario,22,A man,Some university,Don't know/ Prefer not to answer,0,0,9,Certain to vote,18-29
Ontario,22,A woman,Bachelor's degree,Liberal Party,1,0,8,Certain to vote,18-29
Ontario,19,A woman,Some university,Conservative Party,0,1,9,Certain to vote,18-29
Ontario,23,A man,Completed secondary/ high school,ndp,0,1,2,Certain to vote,18-29
Ontario,22,A man,Some university,Another party (please specify),0,0,9,Certain to vote,18-29
Ontario,50,A woman,"Some technical, community college, CEGEP, College Classique",Don't know/ Prefer not to answer,0,1,5,Certain to vote,50-59
Quebec,63,A woman,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,4,Likely to vote,60-69
Ontario,72,A woman,Bachelor's degree,Don't know/ Prefer not to answer,0,0,9,Certain to vote,70-79
Ontario,28,A woman,Master's degree,ndp,0,0,3,Likely to vote,18-29
British Columbia,59,A man,Bachelor's degree,Conservative Party,0,1,10,Certain to vote,50-59
Ontario,60,A woman,"Some technical, community college, CEGEP, College Classique",Liberal Party,1,0,NA,Certain to vote,60-69
Ontario,63,A man,Professional degree or doctorate,ndp,0,0,10,Certain to vote,60-69
Ontario,29,A woman,Bachelor's degree,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,57,A woman,"Some technical, community college, CEGEP, College Classique",Green Party,1,0,10,Certain to vote,50-59
Alberta,65,A man,Bachelor's degree,Conservative Party,0,1,8,Certain to vote,60-69
Saskatchewan,63,A woman,Completed secondary/ high school,Conservative Party,0,1,8,Certain to vote,60-69
Quebec,44,A man,Some university,Conservative Party,0,1,9,Certain to vote,40-49
British Columbia,65,A man,Bachelor's degree,Liberal Party,1,0,10,Certain to vote,60-69
Quebec,41,A man,"Some technical, community college, CEGEP, College Classique",Green Party,0,1,5,Certain to vote,40-49
Ontario,62,A man,Bachelor's degree,Conservative Party,0,1,8,Likely to vote,60-69
Alberta,42,A man,Bachelor's degree,Liberal Party,1,0,3,Certain to vote,40-49
Ontario,32,A man,Bachelor's degree,Liberal Party,1,0,9,Certain to vote,30-39
Ontario,59,A man,Bachelor's degree,Liberal Party,1,0,8,Certain to vote,50-59
Ontario,34,A man,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,8,Certain to vote,30-39
British Columbia,67,A woman,Bachelor's degree,Liberal Party,1,0,9,Certain to vote,60-69
British Columbia,66,A woman,Professional degree or doctorate,Don't know/ Prefer not to answer,0,0,8,Certain to vote,60-69
Quebec,67,A man,Master's degree,Bloc Québécois,0,1,9,Certain to vote,60-69
Ontario,37,A man,Completed secondary/ high school,Green Party,0,0,7,Likely to vote,30-39
Ontario,47,A man,Bachelor's degree,Conservative Party,0,1,7,Certain to vote,40-49
Ontario,68,A woman,Bachelor's degree,ndp,0,0,10,Certain to vote,60-69
Alberta,63,A woman,"Completed technical, community college, CEGEP, College Classique",Don't know/ Prefer not to answer,0,0,8,Certain to vote,60-69
Ontario,30,A man,Bachelor's degree,Liberal Party,1,0,8,Likely to vote,30-39
Quebec,59,A man,Completed secondary/ high school,Conservative Party,0,1,8,Certain to vote,50-59
British Columbia,61,A woman,Bachelor's degree,Green Party,0,0,10,Certain to vote,60-69
Quebec,31,A woman,"Completed technical, community college, CEGEP, College Classique",ndp,0,1,7,Certain to vote,30-39
Ontario,65,A woman,"Some technical, community college, CEGEP, College Classique",Liberal Party,1,0,10,Certain to vote,60-69
Alberta,47,A woman,"Completed technical, community college, CEGEP, College Classique",Conservative Party,0,1,10,Certain to vote,40-49
Manitoba,64,A woman,Bachelor's degree,Liberal Party,1,0,5,Certain to vote,60-69
Ontario,69,A woman,Bachelor's degree,ndp,0,0,6,Certain to vote,60-69
Newfoundland and Labrador,64,A woman,"Completed technical, community college, CEGEP, College Classique",Conservative Party,0,1,10,Certain to vote,60-69
Alberta,49,A man,Master's degree,Liberal Party,1,0,8,Certain to vote,40-49
Saskatchewan,65,A man,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,8,Certain to vote,60-69
Quebec,76,A woman,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,9,Certain to vote,70-79
Quebec,55,A man,Bachelor's degree,Conservative Party,0,1,10,Certain to vote,50-59
British Columbia,56,A man,"Some technical, community college, CEGEP, College Classique",Don't know/ Prefer not to answer,0,0,NA,Certain to vote,50-59
Saskatchewan,63,A man,Bachelor's degree,Conservative Party,0,1,8,Certain to vote,60-69
Ontario,46,A woman,Bachelor's degree,Don't know/ Prefer not to answer,0,0,5,Likely to vote,40-49
Nova Scotia,69,A man,Bachelor's degree,Don't know/ Prefer not to answer,0,0,NA,Likely to vote,60-69
Ontario,47,A woman,Some university,NA,NA,NA,5,Unlikely to vote,40-49
Ontario,38,A woman,Master's degree,Conservative Party,0,1,7,Certain to vote,30-39
Quebec,25,A man,Some secondary/ high school,NA,NA,NA,2,Unlikely to vote,18-29
Prince Edward Island,57,A man,"Completed technical, community college, CEGEP, College Classique",Green Party,0,1,8,Certain to vote,50-59
British Columbia,68,A man,"Some technical, community college, CEGEP, College Classique",Conservative Party,0,1,8,Certain to vote,60-69
Alberta,67,A man,Bachelor's degree,Conservative Party,0,1,9,Certain to vote,60-69
Quebec,59,A man,Master's degree,Conservative Party,0,1,6,Likely to vote,50-59
Ontario,28,A man,Bachelor's degree,Liberal Party,1,0,9,Certain to vote,18-29
Ontario,54,A man,Bachelor's degree,NA,NA,NA,7,Unlikely to vote,50-59
Ontario,63,A man,Some university,Liberal Party,1,0,9,Certain to vote,60-69
Alberta,61,A man,Bachelor's degree,Conservative Party,0,1,10,Certain to vote,60-69
Quebec,29,A woman,Bachelor's degree,Conservative Party,0,1,6,Certain to vote,18-29
Ontario,73,A man,Some university,Conservative Party,0,1,9,Certain to vote,70-79
Ontario,69,A woman,Some secondary/ high school,Conservative Party,0,1,NA,Certain to vote,60-69
Ontario,67,A man,Bachelor's degree,Don't know/ Prefer not to answer,0,0,7,Certain to vote,60-69
Quebec,76,A woman,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,8,Certain to vote,70-79
Quebec,49,A woman,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,8,Certain to vote,40-49
Ontario,62,A woman,Completed secondary/ high school,Conservative Party,0,1,8,Certain to vote,60-69
Nova Scotia,47,A man,Professional degree or doctorate,Conservative Party,0,1,5,Certain to vote,40-49
Ontario,54,A woman,Bachelor's degree,Liberal Party,1,0,4,Certain to vote,50-59
Quebec,55,A woman,Completed secondary/ high school,Green Party,0,0,7,Likely to vote,50-59
Ontario,58,A woman,Some secondary/ high school,Green Party,0,0,6,Certain to vote,50-59
Manitoba,41,A woman,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,10,Certain to vote,40-49
Quebec,54,A man,Master's degree,Bloc Québécois,0,0,10,Certain to vote,50-59
Alberta,34,A woman,Bachelor's degree,Conservative Party,0,1,10,Certain to vote,30-39
British Columbia,66,A woman,"Some technical, community college, CEGEP, College Classique",Conservative Party,0,1,8,Certain to vote,60-69
Quebec,48,A woman,"Some technical, community college, CEGEP, College Classique",Liberal Party,1,0,8,Certain to vote,40-49
British Columbia,68,A man,Master's degree,Liberal Party,1,0,10,Certain to vote,60-69
Ontario,53,A woman,Completed secondary/ high school,Liberal Party,1,0,10,Certain to vote,50-59
Nova Scotia,68,A man,Some university,Liberal Party,1,0,8,Certain to vote,60-69
Quebec,65,A woman,Completed secondary/ high school,Liberal Party,1,0,7,Certain to vote,60-69
Quebec,28,A woman,Bachelor's degree,Liberal Party,1,0,5,Likely to vote,18-29
Manitoba,40,A woman,"Completed technical, community college, CEGEP, College Classique",Green Party,0,0,5,Certain to vote,40-49
Quebec,28,A woman,Bachelor's degree,Don't know/ Prefer not to answer,1,0,7,Certain to vote,18-29
Ontario,69,A man,"Some technical, community college, CEGEP, College Classique",Green Party,1,1,8,Likely to vote,60-69
Ontario,35,A woman,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,8,Certain to vote,30-39
New Brunswick,34,A man,Bachelor's degree,Liberal Party,1,0,10,Certain to vote,30-39
Alberta,56,A man,Bachelor's degree,Conservative Party,0,1,2,Likely to vote,50-59
Ontario,28,A woman,Bachelor's degree,Conservative Party,0,1,3,Certain to vote,18-29
Quebec,68,A woman,Completed secondary/ high school,Liberal Party,1,0,10,Certain to vote,60-69
Ontario,50,A man,"Completed technical, community college, CEGEP, College Classique",Green Party,0,0,8,Certain to vote,50-59
Ontario,39,A woman,Bachelor's degree,Conservative Party,0,1,6,Likely to vote,30-39
Alberta,61,A man,Some university,Liberal Party,1,0,10,Certain to vote,60-69
Ontario,74,A man,Some university,Liberal Party,1,0,8,Certain to vote,70-79
Manitoba,54,A man,"Some technical, community college, CEGEP, College Classique",Conservative Party,0,1,9,Certain to vote,50-59
Manitoba,40,A man,Professional degree or doctorate,Liberal Party,1,0,7,Certain to vote,40-49
Manitoba,60,A woman,Completed secondary/ high school,Conservative Party,0,1,7,Certain to vote,60-69
British Columbia,54,A woman,Master's degree,Liberal Party,1,0,7,Certain to vote,50-59
Quebec,46,A woman,"Some technical, community college, CEGEP, College Classique",Another party (please specify),1,1,5,Certain to vote,40-49
Quebec,60,A woman,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,7,Certain to vote,60-69
Quebec,59,A man,"Completed technical, community college, CEGEP, College Classique",Conservative Party,0,1,10,Certain to vote,50-59
Ontario,63,A man,"Some technical, community college, CEGEP, College Classique",Don't know/ Prefer not to answer,0,0,7,Certain to vote,60-69
Ontario,67,A man,Bachelor's degree,Conservative Party,0,1,10,Certain to vote,60-69
Ontario,51,A man,Bachelor's degree,Conservative Party,0,1,6,Certain to vote,50-59
Ontario,72,A man,Completed secondary/ high school,ndp,0,0,9,Certain to vote,70-79
Quebec,56,A woman,"Some technical, community college, CEGEP, College Classique",Conservative Party,0,1,4,Likely to vote,50-59
Saskatchewan,37,A woman,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,3,Certain to vote,30-39
Quebec,60,A woman,Professional degree or doctorate,Liberal Party,1,0,8,Certain to vote,60-69
Ontario,81,A man,Master's degree,Conservative Party,0,1,10,Certain to vote,80-89
Ontario,63,A man,Master's degree,ndp,0,0,7,Certain to vote,60-69
Ontario,39,A woman,"Completed technical, community college, CEGEP, College Classique",Don't know/ Prefer not to answer,0,1,7,Certain to vote,30-39
Ontario,63,A man,Some university,Conservative Party,0,1,8,Certain to vote,60-69
Ontario,61,A woman,Master's degree,Don't know/ Prefer not to answer,0,0,4,Certain to vote,60-69
Ontario,65,A man,"Completed technical, community college, CEGEP, College Classique",Conservative Party,0,1,10,Certain to vote,60-69
Quebec,72,A woman,"Completed technical, community college, CEGEP, College Classique",Conservative Party,0,1,NA,Certain to vote,70-79
Ontario,39,A woman,Completed secondary/ high school,NA,NA,NA,5,Certain not to vote,30-39
Ontario,99,A woman,Bachelor's degree,Don't know/ Prefer not to answer,1,0,9,Certain to vote,90-99
Ontario,81,A man,Some secondary/ high school,Conservative Party,0,1,10,Certain to vote,80-89
Nova Scotia,70,A woman,Some secondary/ high school,NA,NA,NA,2,Don't know/ Prefer not to answer,70-79
Ontario,30,A woman,Master's degree,NA,NA,NA,4,Unlikely to vote,30-39
Ontario,37,A man,Bachelor's degree,Conservative Party,0,1,7,Certain to vote,30-39
Nova Scotia,52,A man,"Some technical, community college, CEGEP, College Classique",Green Party,0,0,5,Certain to vote,50-59
Alberta,55,A man,Professional degree or doctorate,Don't know/ Prefer not to answer,0,0,10,Certain to vote,50-59
Ontario,49,A woman,Bachelor's degree,Liberal Party,1,0,8,Certain to vote,40-49
Ontario,81,A man,Some university,Conservative Party,0,1,10,Certain to vote,80-89
Ontario,66,A man,Don't know/ Prefer not to answer,ndp,1,1,10,Certain to vote,60-69
Ontario,73,A man,Some university,Liberal Party,1,0,10,Certain to vote,70-79
Quebec,30,A woman,Completed secondary/ high school,Don't know/ Prefer not to answer,0,1,NA,Certain to vote,30-39
Ontario,53,A woman,Bachelor's degree,Conservative Party,0,1,10,Certain to vote,50-59
Ontario,57,A man,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,6,Certain to vote,50-59
Ontario,84,A man,Professional degree or doctorate,Don't know/ Prefer not to answer,0,0,8,Certain to vote,80-89
Ontario,69,A man,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,5,Certain to vote,60-69
Ontario,80,A man,"Completed technical, community college, CEGEP, College Classique",Conservative Party,0,1,9,Certain to vote,80-89
British Columbia,60,A man,"Some technical, community college, CEGEP, College Classique",NA,NA,NA,1,Certain not to vote,60-69
Ontario,25,A man,Bachelor's degree,Liberal Party,1,0,9,Certain to vote,18-29
Ontario,36,A man,Bachelor's degree,Liberal Party,1,0,8,Certain to vote,30-39
Ontario,60,A woman,Completed secondary/ high school,Conservative Party,0,1,8,Certain to vote,60-69
Ontario,69,A man,Master's degree,Another party (please specify),0,0,5,Certain to vote,60-69
Ontario,58,A woman,Bachelor's degree,Conservative Party,0,1,8,Certain to vote,50-59
Ontario,49,A woman,Bachelor's degree,Green Party,1,0,6,Certain to vote,40-49
Quebec,63,A man,Bachelor's degree,Liberal Party,1,0,7,Certain to vote,60-69
Ontario,19,A woman,Completed secondary/ high school,Liberal Party,1,0,8,Certain to vote,18-29
Ontario,26,A woman,Bachelor's degree,Green Party,0,0,10,Certain to vote,18-29
Quebec,64,A man,"Some technical, community college, CEGEP, College Classique",Conservative Party,0,1,8,Certain to vote,60-69
Ontario,62,A man,Bachelor's degree,Conservative Party,0,1,10,Certain to vote,60-69
New Brunswick,57,A man,Bachelor's degree,Don't know/ Prefer not to answer,0,0,9,Certain to vote,50-59
Quebec,65,A woman,"Some technical, community college, CEGEP, College Classique",Bloc Québécois,0,1,8,Certain to vote,60-69
Ontario,66,A man,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,9,Certain to vote,60-69
Ontario,60,A woman,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,10,Certain to vote,60-69
Ontario,43,A man,Bachelor's degree,ndp,1,1,9,Certain to vote,40-49
Quebec,63,A man,"Completed technical, community college, CEGEP, College Classique",Don't know/ Prefer not to answer,0,0,7,Certain to vote,60-69
Nova Scotia,58,A man,"Completed technical, community college, CEGEP, College Classique",ndp,1,1,8,Certain to vote,50-59
Quebec,55,A man,Bachelor's degree,Conservative Party,0,1,8,Certain to vote,50-59
Quebec,58,A woman,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,6,Likely to vote,50-59
Ontario,74,A man,"Completed technical, community college, CEGEP, College Classique",Liberal Party,1,0,8,Certain to vote,70-79
Ontario,42,A man,"Some technical, community college, CEGEP, College Classique",ndp,0,0,6,Certain to vote,40-49
Ontario,56,A man,Completed secondary/ high school,ndp,0,0,7,Likely to vote,50-59
Ontario,36,A woman,Completed secondary/ high school,Green Party,0,0,9,Likely to vote,30-39
Ontario,73,A man,Professional degree or doctorate,Conservative Party,0,1,9,Certain to vote,70-79
Quebec,42,A woman,Completed elementary school,Liberal Party,1,0,2,Likely to vote,40-49
Ontario,36,A man,Completed secondary/ high school,Liberal Party,1,0,6,Certain to vote,30-39
Ontario,50,A woman,Bachelor's degree,Conservative Party,0,1,8,Certain to vote,50-59
Quebec,73,A man,"Completed technical, community college, CEGEP, College Classique",Bloc Québécois,1,0,7,Certain to vote,70-79
Ontario,40,A woman,Master's degree,Don't know/ Prefer not to answer,0,1,5,Certain to vote,40-49
Ontario,82,A man,Master's degree,Liberal Party,1,0,8,Certain to vote,80-89
Ontario,80,A man,Master's degree,Don't know/ Prefer not to answer,0,0,9,Certain to vote,80-89
Ontario,55,A man,"Some technical, community college, CEGEP, College Classique",Green Party,0,1,9,Certain to vote,50-59
Ontario,71,A woman,Professional degree or doctorate,ndp,0,0,8,Certain to vote,70-79
Ontario,42,A man,Bachelor's degree,Liberal Party,1,0,6,Certain to vote,40-49
Alberta,32,A man,Bachelor's degree,Conservative Party,0,1,9,Likely to vote,30-39
Ontario,77,A woman,"Completed technical, community college, CEGEP, College Classique",Green Party,0,0,7,Certain to vote,70-79
Quebec,57,A man,Bachelor's degree,Bloc Québécois,0,0,8,Certain to vote,50-59
Ontario,56,A man,Bachelor's degree,Liberal Party,1,0,10,Certain to vote,50-59
Ontario,60,A man,Bachelor's degree,Liberal Party,1,0,7,Certain to vote,60-69
Newfoundland and Labrador,64,A man,Bachelor's degree,Conservative Party,0,1,8,Likely to vote,60-69
Quebec,23,A woman,Completed secondary/ high school,Green Party,0,0,7,Certain to vote,18-29
Ontario,68,A woman,Some secondary/ high school,Don't know/ Prefer not to answer,0,0,10,Certain to vote,60-69
Ontario,28,A man,Master's degree,Liberal Party,1,0,8,Likely to vote,18-29
Ontario,72,A man,Bachelor's degree,Liberal Party,1,0,9,Certain to vote,70-79
Quebec,64,A woman,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,5,Certain to vote,60-69
Ontario,40,A woman,Master's degree,Conservative Party,0,1,8,Certain to vote,40-49
Ontario,78,A woman,Master's degree,Liberal Party,1,0,6,Certain to vote,70-79
Quebec,29,A man,Some university,Green Party,0,0,6,Certain to vote,18-29
Quebec,59,A man,Completed secondary/ high school,Conservative Party,0,1,6,Certain to vote,50-59
Ontario,39,A man,Bachelor's degree,Conservative Party,0,1,10,Certain to vote,30-39
British Columbia,45,A woman,Bachelor's degree,Liberal Party,1,0,5,Likely to vote,40-49
British Columbia,33,A woman,"Completed technical, community college, CEGEP, College Classique",Green Party,1,0,5,Certain to vote,30-39
British Columbia,66,A woman,"Completed technical, community college, CEGEP, College Classique",NA,NA,NA,3,Don't know/ Prefer not to answer,60-69
Quebec,47,A woman,Some university,Conservative Party,0,1,8,Certain to vote,40-49
New Brunswick,68,A woman,Completed secondary/ high school,Conservative Party,0,1,10,Likely to vote,60-69
Quebec,35,A woman,Bachelor's degree,Don't know/ Prefer not to answer,0,0,NA,Certain to vote,30-39
Ontario,70,A man,"Completed technical, community college, CEGEP, College Classique",ndp,0,0,10,Certain to vote,70-79
Ontario,43,A man,Completed secondary/ high school,Conservative Party,0,1,10,Certain to vote,40-49
Quebec,35,A man,Some secondary/ high school,NA,NA,NA,2,Certain not to vote,30-39
Quebec,62,A woman,Bachelor's degree,Conservative Party,0,1,8,Certain to vote,60-69
Ontario,41,A man,"Some technical, community college, CEGEP, College Classique",ndp,1,1,8,Certain to vote,40-49
Ontario,68,A woman,Completed secondary/ high school,Liberal Party,1,0,8,Certain to vote,60-69
Quebec,62,A woman,Bachelor's degree,Conservative Party,0,1,7,Certain to vote,60-69
Ontario,33,A woman,"Some technical, community college, CEGEP, College Classique",Liberal Party,1,0,7,Likely to vote,30-39
Quebec,35,A man,Completed secondary/ high school,ndp,0,0,9,Certain to vote,30-39
New Brunswick,79,A man,"Completed technical, community college, CEGEP, College Classique",Conservative Party,0,1,9,Certain to vote,70-79
Ontario,46,A man,Master's degree,NA,NA,NA,8,Unlikely to vote,40-49
Prince Edward Island,34,A man,Completed secondary/ high school,Conservative Party,0,1,7,Certain to vote,30-39
Ontario,47,A man,Professional degree or doctorate,Liberal Party,1,0,7,Certain to vote,40-49
Quebec,74,A woman,Completed secondary/ high school,Bloc Québécois,0,0,10,Certain to vote,70-79
Ontario,46,A man,Bachelor's degree,Conservative Party,0,1,10,Certain to vote,40-49
Quebec,47,A woman,Master's degree,Green Party,1,1,7,Certain to vote,40-49
Quebec,57,A man,Some university,NA,NA,NA,2,Unlikely to vote,50-59
Alberta,36,A man,Some secondary/ high school,Liberal Party,1,0,4,Certain to vote,30-39
Ontario,30,A woman,Professional degree or doctorate,Liberal Party,1,0,10,Certain to vote,30-39
Ontario,52,A woman,Master's degree,Liberal Party,1,0,7,Certain to vote,50-59
Ontario,74,A woman,Completed secondary/ high school,Conservative Party,0,1,10,Certain to vote,70-79
Ontario,71,A man,Bachelor's degree,Liberal Party,1,0,10,Certain to vote,70-79
Quebec,68,A woman,Some university,Don't know/ Prefer not to answer,1,1,2,Certain to vote,60-69
Quebec,48,A woman,Bachelor's degree,Bloc Québécois,0,0,9,Certain to vote,40-49
Ontario,75,A woman,Bachelor's degree,Don't know/ Prefer not to answer,0,0,8,Likely to vote,70-79
Nova Scotia,65,A man,"Some technical, community college, CEGEP, College Classique",Conservative Party,0,1,NA,Certain to vote,60-69
Ontario,86,A woman,Bachelor's degree,Liberal Party,1,0,NA,Certain to vote,80-89
Ontario,37,A man,Completed elementary school,NA,NA,NA,6,Certain not to vote,30-39
Ontario,73,A man,Bachelor's degree,Liberal Party,1,0,6,Certain to vote,70-79
Ontario,63,A man,"Some technical, community college, CEGEP, College Classique",NA,NA,NA,4,Unlikely to vote,60-69
Ontario,72,A woman,Completed secondary/ high school,Conservative Party,0,1,8,Likely to vote,70-79
Quebec,54,A man,Bachelor's degree,Green Party,0,0,2,Likely to vote,50-59
Ontario,50,A man,"Completed technical, community college, CEGEP, College Classique",NA,NA,NA,5,Unlikely to vote,50-59
Prince Edward Island,61,A man,Master's degree,Liberal Party,1,0,6,Certain to vote,60-69
Ontario,44,A man,Master's degree,People's Party,0,0,2,Certain to vote,40-49
Quebec,40,A man,Bachelor's degree,Don't know/ Prefer not to answer,1,1,7,Likely to vote,40-49
New Brunswick,56,A man,"Completed technical, community college, CEGEP, College Classique",Don't know/ Prefer not to answer,0,0,9,Certain to vote,50-59
New Brunswick,34,A woman,"Completed technical, community college, CEGEP, College Classique",Don't know/ Prefer not to answer,0,1,2,Likely to vote,30-39
Ontario,59,A man,"Completed technical, community college, CEGEP, College Classique",Don't know/ Prefer not to answer,0,0,7,Certain to vote,50-59
Ontario,57,A woman,"Completed technical, community college, CEGEP, College Classique",Conservative Party,0,1,10,Certain to vote,50-59
Newfoundland and Labrador,31,A man,"Some technical, community college, CEGEP, College Classique",Liberal Party,1,0,9,Certain to vote,30-39
Ontario,59,A man,Bachelor's degree,ndp,0,0,6,Certain to vote,50-59
Ontario,63,A woman,Bachelor's degree,Liberal Party,1,0,9,Certain to vote,60-69
